id;logradouro;este;norte;zona
HIDRANTE-001;PEDRO HENRIQUE KRAMBECK (LT28) COM HÉLIO ZANINI;665901;7591006;23S
HIDRANTE-002;PROFESSOR VIRGILIO PEREIRA DA SILVA 225;664950;7590727;23S
HIDRANTE-003;AVENIDA LUIZA VITORIA FERNANDES 25 COM RUA ALVARO CRUZ;662625;7599298;23S
HIDRANTE-004;LOTEAMENTO ESTRELA ALTA, ENTRE AS QUADRAS F e D ALAMEDA DO SOL;668849;7588278;23S
HIDRANTE-005;AVENIDA PRESIDENTE ITAMAR FRANCO 2476 COM RUA ANTONIO PASSARELA;669960;7591105;23S
HIDRANTE-006;AVENIDA JUIZ DE FORA 1437;670786;7600668;23S
HIDRANTE-007;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK 1140;663047;7599597;23S
HIDRANTE-008;RUA DOUTOR HENRIQUE BURNIER 715 COM RUA GASTRO MATTA;668359;7595006;23S
HIDRANTE-009;RUA MAJOR LINO LIMA 129 COM AVENIDA PEDRO HENRIQUE KRAMBECK;667036;7591281;23S
HIDRANTE-010;RUA VITORINO BRAGA 253 COM AVENIDA GARIBALDI CAMPINHOS;671075;7593728;23S
HIDRANTE-011;RUA JOSÉ MANOEL DE OLIVEIRA 61 COM RUA HELIO TOMAS;666931;7595319;23S
HIDRANTE-012;AVENIDA BRASIL 787 COM RUA CEARA;672115;7592441;23S
HIDRANTE-013;AVENIDA BRASIL 1055 (EMPAV);672640;7591999;23S
HIDRANTE-014;AVENIDA FRANCISCO VALADARES PRAÇA (RETORNO);672656;7591398;23S
HIDRANTE-015;PRAÇA VILA IDEAL;672547;7590972;23S
HIDRANTE-016;CÔNEGO LAURO NEVES 111;670610;7589100;23S
HIDRANTE-017;RUA MARCIANO PINTO 1635;669480;7586893;23S
HIDRANTE-018;RUA MISTER MOORE COM AVENIDA GETULIO VARGAS;670842;7592904;23S
HIDRANTE-019;RUA DIOMAR MONTEIRO 3403;673627;7601631;23S
HIDRANTE-020;RUA ANTONIO SIMÃO FIRJAN 343;661624;7601431;23S
HIDRANTE-021;RUA BRUNO SMILLY COM RUA JULIO DIONISIO CARDOSO;661471;7601999;23S
HIDRANTE-022;RUA BRUNO SMILLY COM RUA GALILEU PICORELLI;661831;7601786;23S
HIDRANTE-023;RUA FERNANDO LANARCA COM RUA BRUNO SMILLY;661148;7602172;23S
HIDRANTE-024;RUA DR. ELÁDIO LOPES GLP 325;659844;7601779;23S
HIDRANTE-025;RUA ANIBAL AUGUSTO DE ASSIS COM AVENIDA JK;662245;7603989;23S
HIDRANTE-026;RUA MARTINS BARBOSA 952;661114;7600373;23S
HIDRANTE-027;RUA MARTINS BARBOSA 1139;660850;7600195;23S
HIDRANTE-028;AVENIDA LUIZA VITORIA FERNANDES 25 COM RUA ALVARO CRUZ (DUPLICADO);662631;7599301;23S
HIDRANTE-029;RUA MANOEL DINIZ 85 COM AV JK;666013;7595725;23S
HIDRANTE-030;AVENIDA OLAVO BILAC 799 (KEEPER);666941;7595126;23S
HIDRANTE-031;RUA MARIA LUIZA TOSTES 373 COM RUA CORONEL APRIGIO RIBEIRO;667493;7594910;23S
HIDRANTE-032;AV JK 273;666597;7595422;23S
HIDRANTE-033;AVENIDA DOUTOR HENRIQUE BURNIER 75 (SHOPPING);668388;7594993;23S
HIDRANTE-034;AVENIDA ORLANDO RIANI 1953;675099;7602957;23S
HIDRANTE-035;RUA DIOMAR MONTEIRO 3403;673630;7601630;23S
HIDRANTE-036;AVENIDA JUIZ DE FORA 1115 (DROGANEW);670626;7600428;23S
HIDRANTE-037;RUA SOPHIA RAFAEL ZACARIAS 392;670207;7597855;23S
HIDRANTE-038;RUA DIVA GARCIA 1858;672745;7595623;23S
HIDRANTE-039;AVENIDA GARIBALDE CAMPINHOS 175;671157;7593496;23S
HIDRANTE-040;AVENIDA RUI BARBOSA 950 COM RUA TENENTE LUIZ FREITAS;669305;7595208;23S
HIDRANTE-041;AVENIDA RUI BARBOSA 593 COM RUA CUSTODIO TRISTAO;669286;7594844;23S
HIDRANTE-042;AVENIDA DOUTOR JOSE PROCOPIO TEIXEIRA 201 COM AVENIDA RIO BRANCO;671080;7590961;23S
HIDRANTE-043;RUA SANTOS DUMONT 284;671264;7592228;23S
HIDRANTE-044;RUA ANTONIO DIAS TOSTES 352;671404;7592370;23S
HIDRANTE-045;RUA SAMPAIO 87 COM RUA BARÃO DE SANTA HELENA;671213;7592145;23S
HIDRANTE-046;RUA BAHIA 24 COM RUA ESPIRITO SANTO;671627;7592552;23S
HIDRANTE-047;RUA MONSENHOR GUSTAVO FREIRE 77 (CESAMA);670237;7591326;23S
HIDRANTE-048;RUA SANTO ANTONIO 1155;670540;7592439;23S
